iso2,inst_id,display_name,year,works_count,country_rank
FR,I21491767,Aix-Marseille Université,2018,8017,8
FR,I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,2018,7631,9
FR,I90183372,Université de Lorraine,2018,6974,10
FR,I4210097159,Assistance Publique – Hôpitaux de Paris,2018,6731,11
FR,I19894307,Université de Montpellier,2018,6142,12
FR,I2279609970,Université de Lille,2018,5623,13
FR,I15057530,Université de Bordeaux,2018,5580,14
FR,I102197404,Université Paris-Sud,2018,5479,15
FR,I1294671590,Centre National de la Recherche Scientifique,2023,67903,1
FR,I154526488,Inserm,2023,24790,2
FR,I39804081,Sorbonne Université,2023,18948,3
FR,I204730241,Université Paris Cité,2023,16828,4
FR,I277688954,Université Paris-Saclay,2023,15030,5
FR,I4210088668,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",2023,11940,6
FR,I100532134,Université Claude Bernard Lyon 1,2023,10292,7
FR,I899635006,Université Grenoble Alpes,2023,10125,8
FR,I4210097159,Assistance Publique – Hôpitaux de Paris,2023,9113,9
FR,I19894307,Université de Montpellier,2023,8910,10
FR,I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,2023,8427,11
FR,I21491767,Aix-Marseille Université,2023,8335,12
FR,I4210166444,Institut de Recherche pour le Développement,2023,8186,13
FR,I2279609970,Université de Lille,2023,7990,14
FR,I15057530,Université de Bordeaux,2023,7316,15
NL,I887064364,University of Amsterdam,2018,8279,1
NL,I145872427,Radboud University Nijmegen,2018,8274,2
NL,I193662353,Utrecht University,2018,7503,3
NL,I169381384,University of Groningen,2018,7257,4
NL,I98358874,Delft University of Technology,2018,6921,5
NL,I913481162,Wageningen University & Research,2018,5080,6
NL,I34352273,Maastricht University,2018,4805,7
NL,I121797337,Leiden University,2018,4728,8
NL,I865915315,Vrije Universiteit Amsterdam,2018,4450,9
NL,I3018483916,University Medical Center Utrecht,2018,4357,10
NL,I2802934949,Radboud University Medical Center,2018,4307,11
NL,I2801952686,Erasmus MC,2018,4278,12
NL,I913958620,Erasmus University Rotterdam,2018,4235,13
NL,I1334415907,University Medical Center Groningen,2018,3992,14
NL,I2800006345,Leiden University Medical Center,2018,3942,15
NL,I887064364,University of Amsterdam,2023,10954,1
NL,I193662353,Utrecht University,2023,9974,2
NL,I145872427,Radboud University Nijmegen,2023,9638,3
NL,I169381384,University of Groningen,2023,8996,4
NL,I98358874,Delft University of Technology,2023,8482,5
NL,I4210151833,Amsterdam University Medical Centers,2023,8205,6
NL,I865915315,Vrije Universiteit Amsterdam,2023,7952,7
NL,I34352273,Maastricht University,2023,6527,8
NL,I913481162,Wageningen University & Research,2023,6505,9
NL,I121797337,Leiden University,2023,5637,10
NL,I2801952686,Erasmus MC,2023,5514,11
NL,I2802934949,Radboud University Medical Center,2023,5324,12
NL,I3018483916,University Medical Center Utrecht,2023,5174,13
NL,I83019370,Eindhoven University of Technology,2023,4972,14
NL,I1334415907,University Medical Center Groningen,2023,4938,15
CH,I35440088,ETH Zurich,2018,9668,1
CH,I202697423,University of Zurich,2018,7677,2
CH,I5124864,École Polytechnique Fédérale de Lausanne,2018,6006,3
CH,I118564535,University of Bern,2018,5916,4
CH,I114457229,University of Geneva,2018,4852,5
CH,I97565354,University of Lausanne,2018,4211,6
CH,I1850255,University of Basel,2018,4108,7
CH,I1294671590,Centre National de la Recherche Scientifique,2018,2844,8
CH,I4210100468,University Hospital of Zurich,2018,2783,9
CH,I2801112126,University Hospital of Bern,2018,2340,10
CH,I67311998,European Organization for Nuclear Research,2018,2162,11
CH,I2802542264,University Hospital of Basel,2018,1749,12
CH,I2802229908,Paul Scherrer Institute,2018,1704,13
CH,I4210106256,University Hospital of Geneva,2018,1535,14
CH,I154338468,University of Fribourg,2018,1473,15
CH,I35440088,ETH Zurich,2023,12469,1
CH,I202697423,University of Zurich,2023,10178,2
CH,I118564535,University of Bern,2023,8630,3
CH,I5124864,École Polytechnique Fédérale de Lausanne,2023,7022,4
CH,I114457229,University of Geneva,2023,6445,5
CH,I97565354,University of Lausanne,2023,6323,6
CH,I1850255,University of Basel,2023,5544,7
CH,I1294671590,Centre National de la Recherche Scientifique,2023,3985,8
CH,I4210100468,University Hospital of Zurich,2023,3664,9
CH,I2801112126,University Hospital of Bern,2023,3387,10
CH,I130692619,Bern University of Applied Sciences,2023,2800,11
CH,I2802542264,University Hospital of Basel,2023,2404,12
CH,I154338468,University of Fribourg,2023,2287,13
CH,I2802229908,Paul Scherrer Institute,2023,2172,14
CH,I190397597,University of Urbino,2023,2081,15
SE,I28166907,Karolinska Institutet,2018,8561,1
SE,I187531555,Lund University,2018,7613,2
SE,I123387679,Uppsala University,2018,6781,3
SE,I881427289,University of Gothenburg,2018,5834,4
SE,I161593684,Stockholm University,2018,4731,5
SE,I86987016,KTH Royal Institute of Technology,2018,4586,6
SE,I66862912,Chalmers University of Technology,2018,3432,7
SE,I102134673,Linköping University,2018,3359,8
SE,I1335113835,Karolinska University Hospital,2018,3105,9
SE,I90267481,Umeå University,2018,2870,10
SE,I298625061,Swedish University of Agricultural Sciences,2018,2139,11
SE,I4210137844,Skåne University Hospital,2018,1527,12
SE,I1294671590,Centre National de la Recherche Scientifique,2018,1452,13
SE,I2801112325,Sahlgrenska University Hospital,2018,1410,14
SE,I124055696,University of Copenhagen,2018,1235,15
SE,I28166907,Karolinska Institutet,2023,10645,1
SE,I187531555,Lund University,2023,9599,2
SE,I123387679,Uppsala University,2023,8642,3
SE,I881427289,University of Gothenburg,2023,7167,4
SE,I161593684,Stockholm University,2023,5899,5
SE,I86987016,KTH Royal Institute of Technology,2023,5414,6
SE,I102134673,Linköping University,2023,4276,7
SE,I66862912,Chalmers University of Technology,2023,3941,8
SE,I1335113835,Karolinska University Hospital,2023,3731,9
SE,I90267481,Umeå University,2023,3475,10
SE,I298625061,Swedish University of Agricultural Sciences,2023,2775,11
SE,I2801112325,Sahlgrenska University Hospital,2023,2306,12
SE,I1294671590,Centre National de la Recherche Scientifique,2023,1971,13
SE,I4210137844,Skåne University Hospital,2023,1825,14
SE,I45129253,University College London,2023,1788,15
DK,I124055696,University of Copenhagen,2018,11111,1
DK,I204337017,Aarhus University,2018,9768,2
DK,I96673099,Technical University of Denmark,2018,6380,3
DK,I891191580,Aalborg University,2018,6252,4
DK,I177969490,University of Southern Denmark,2018,4451,5
DK,I2802709434,Rigshospitalet,2018,3236,6
DK,I2802335433,Aarhus University Hospital,2018,2740,7
DK,I2802567020,Copenhagen University Hospital,2018,2380,8
DK,I2801498763,Odense University Hospital,2018,1675,9
DK,I180519160,Copenhagen Business School,2018,1655,10
DK,I107707843,Roskilde University,2018,1174,11
DK,I2799976261,Aalborg University Hospital,2018,1034,12
DK,I2802582725,Gentofte Hospital,2018,931,13
DK,I187531555,Lund University,2018,913,14
DK,I1294671590,Centre National de la Recherche Scientifique,2018,891,15
DK,I124055696,University of Copenhagen,2023,14060,1
DK,I204337017,Aarhus University,2023,11351,2
DK,I96673099,Technical University of Denmark,2023,7519,3
DK,I891191580,Aalborg University,2023,6810,4
DK,I177969490,University of Southern Denmark,2023,5669,5
DK,I2802567020,Copenhagen University Hospital,2023,4271,6
DK,I2802709434,Rigshospitalet,2023,4240,7
DK,I2802335433,Aarhus University Hospital,2023,3447,8
DK,I2801498763,Odense University Hospital,2023,2237,9
DK,I180519160,Copenhagen Business School,2023,1699,10
DK,I2799976261,Aalborg University Hospital,2023,1455,11
DK,I1294671590,Centre National de la Recherche Scientifique,2023,1375,12
DK,I107707843,Roskilde University,2023,1337,13
DK,I2802582725,Gentofte Hospital,2023,1318,14
DK,I187531555,Lund University,2023,1252,15
FI,I133731052,University of Helsinki,2018,7933,1
FI,I9927081,Aalto University,2018,3707,2
FI,I4210133110,,2018,3438,3
FI,I155660961,University of Turku,2018,3269,4
FI,I98381234,University of Oulu,2018,2814,5
FI,I166825849,Tampere University,2018,2538,6
FI,I175532246,University of Eastern Finland,2018,2369,7
FI,I2800394112,Helsinki University Hospital,2018,2039,8
FI,I94722563,University of Jyväskylä,2018,1936,9
FI,I39624965,Finnish Institute for Health and Welfare,2018,1334,10
FI,I130217899,Åbo Akademi University,2018,1049,11
FI,I2801970007,Turku University Hospital,2018,1033,12
FI,I63548447,Lappeenranta-Lahti University of Technology,2018,978,13
FI,I28166907,Karolinska Institutet,2018,881,14
FI,I4210126318,Tampere University Hospital,2018,826,15
FI,I133731052,University of Helsinki,2023,10415,1
FI,I155660961,University of Turku,2023,4357,2
FI,I9927081,Aalto University,2023,3942,3
FI,I166825849,Tampere University,2023,3898,4
FI,I98381234,University of Oulu,2023,3773,5
FI,I175532246,University of Eastern Finland,2023,3222,6
FI,I94722563,University of Jyväskylä,2023,2474,7
FI,I2800394112,Helsinki University Hospital,2023,2316,8
FI,I4210133110,,2023,1373,9
FI,I2801970007,Turku University Hospital,2023,1220,10
FI,I63548447,Lappeenranta-Lahti University of Technology,2023,1170,11
