iso2,year,works_count
JP,2019,192870
RU,2019,173379
IT,2019,169639
CA,2019,168325
ES,2019,158014
AU,2019,150300
KR,2019,108593
NL,2019,99559
TR,2019,94964
IR,2019,94267
PL,2019,89198
CH,2019,77912
BE,2019,59985
SE,2019,58976
MX,2019,55104
DK,2019,50848
PT,2019,48129
MY,2019,45935
EG,2019,43300
AT,2019,39891
CZ,2019,37956
ZA,2019,36816
NO,2019,36485
PK,2019,35877
SA,2019,35248
IL,2019,32806
FI,2019,32245
NG,2019,30983
CO,2019,30688
SG,2019,30385
AR,2019,30155
CL,2019,26742
IE,2019,25579
NZ,2019,23837
TH,2019,23462
VN,2019,17410
BD,2019,16192
AE,2019,10918
KE,2019,9894
EE,2019,5701
GE,2019,2057
MT,2019,1491
US,2020,1432719
CN,2020,812683
GB,2020,378902
IN,2020,309532
DE,2020,307373
ID,2020,277849
FR,2020,268401
BR,2020,256143
CA,2020,205350
JP,2020,203521
RU,2020,198561
IT,2020,193651
ES,2020,178412
AU,2020,164835
KR,2020,123811
TR,2020,110875
IR,2020,106739
NL,2020,105433
PL,2020,91120
CH,2020,84851
SE,2020,65070
BE,2020,62756
MX,2020,59701
PT,2020,53172
MY,2020,52667
EG,2020,52440
DK,2020,51532
SA,2020,49100
PK,2020,47397
AT,2020,46237
ZA,2020,42085
NO,2020,41708
CZ,2020,40927
NG,2020,39906
CO,2020,38789
IL,2020,38542
AR,2020,35436
SG,2020,35297
FI,2020,34508
IE,2020,30935
CL,2020,30322
NZ,2020,26353
TH,2020,25774
VN,2020,23919
BD,2020,21306
AE,2020,14114
KE,2020,11690
EE,2020,5971
GE,2020,3773
MT,2020,1751
US,2021,1336398
CN,2021,901299
GB,2021,384780
IN,2021,346285
ID,2021,333010
DE,2021,319105
FR,2021,274327
BR,2021,248234
RU,2021,218324
JP,2021,203397
CA,2021,200009
IT,2021,198569
ES,2021,184220
AU,2021,165924
TR,2021,129270
KR,2021,121306
IR,2021,106722
NL,2021,106152
PL,2021,91903
CH,2021,88508
SE,2021,67325
BE,2021,62939
MY,2021,61413
MX,2021,61096
EG,2021,61013
SA,2021,59301
PT,2021,58048
PK,2021,57104
DK,2021,52258
AT,2021,48137
ZA,2021,45054
NO,2021,44248
NG,2021,42736
CZ,2021,41843
IL,2021,38801
FI,2021,36518
CO,2021,35978
SG,2021,34909
AR,2021,33841
CL,2021,31109
IE,2021,31096
TH,2021,29251
NZ,2021,26390
BD,2021,24982
VN,2021,24447
AE,2021,16307
KE,2021,11785
EE,2021,6486
GE,2021,3591
MT,2021,2009
US,2022,1745647
CN,2022,1070196
IN,2022,377804
ID,2022,360208
GB,2022,351398
DE,2022,308965
FR,2022,266050
BR,2022,218516
JP,2022,195574
IT,2022,195286
RU,2022,191542
ES,2022,182131
CA,2022,180912
AU,2022,159451
TR,2022,137423
KR,2022,123244
NL,2022,103525
IR,2022,92417
CH,2022,86219
PL,2022,85712
SA,2022,68659
EG,2022,65176
SE,2022,64624
PK,2022,63653
MY,2022,62078
MX,2022,60824
BE,2022,59031
PT,2022,55722
DK,2022,51735
AT,2022,47051
ZA,2022,45912
NO,2022,42633
NG,2022,42501
CZ,2022,40002
IL,2022,35799
FI,2022,35342
SG,2022,33976
CO,2022,32825
TH,2022,31460
AR,2022,30128
IE,2022,29437
CL,2022,28987
BD,2022,26769
NZ,2022,25126
VN,2022,24720
AE,2022,19187
KE,2022,11812
EE,2022,6106
GE,2022,3142
MT,2022,2011
US,2023,1280896
CN,2023,1128979
ID,2023,447946
IN,2023,414741
GB,2023,366418
DE,2023,319220
FR,2023,269735
BR,2023,244647
IT,2023,208576
JP,2023,198078
ES,2023,191949
CA,2023,187938
RU,2023,176366
AU,2023,159329
TR,2023,146882
KR,2023,129002
NL,2023,107513
CH,2023,92000
PL,2023,91906
IR,2023,88277
SA,2023,74196
SE,2023,67856
MY,2023,67189
MX,2023,66128
PK,2023,65833
BE,2023,65525
EG,2023,65422
PT,2023,62344
DK,2023,54578
AT,2023,48784
ZA,2023,47414
NO,2023,46269
NG,2023,45001
CZ,2023,42519
IL,2023,38171
FI,2023,36570
SG,2023,35759
CO,2023,35367
TH,2023,32687
AR,2023,31715
CL,2023,31622
IE,2023,30960
BD,2023,28725
VN,2023,27374
NZ,2023,24568
AE,2023,23527
KE,2023,12877
EE,2023,6468
GE,2023,4030
MT,2023,2068
